# Omega_m h0 Omega_b n_s ln(10^{10}A_s) Omeganuh2 Neff w
2.136243e-01 7.649734e-01 2.882342e-02 9.829949e-01 3.531762e+00 6.692494e-03 2.211950e+00 -1.161340e+00
3.080111e-01 6.259374e-01 5.710193e-02 9.830794e-01 3.699878e+00 4.983410e-03 3.729563e+00 -6.772956e-01
3.224238e-01 7.929955e-01 6.268830e-02 1.003962e+00 2.954583e+00 6.828497e-03 3.489838e+00 -9.276832e-01
3.023375e-01 6.098427e-01 5.988105e-02 9.822782e-01 3.825265e+00 3.074196e-03 3.534733e+00 -6.615081e-01
2.629590e-01 7.761367e-01 4.209918e-02 9.837359e-01 3.603194e+00 5.127612e-03 2.513979e+00 -7.296193e-01
2.886626e-01 7.694836e-01 6.520746e-02 1.029892e+00 3.490452e+00 7.136117e-04 2.528778e+00 -4.943589e-01
3.142752e-01 6.874749e-01 6.762430e-02 1.045556e+00 3.453640e+00 4.877270e-03 3.000576e+00 -8.679125e-01
1.926296e-01 8.832520e-01 2.373105e-02 9.429869e-01 3.262051e+00 4.993781e-03 2.022705e+00 -1.211985e+00
2.392526e-01 8.657536e-01 6.597268e-02 1.016035e+00 3.373724e+00 4.735947e-03 3.401186e+00 -1.120144e+00
3.217047e-01 5.686345e-01 3.455676e-02 9.596679e-01 3.691094e+00 9.758885e-03 2.921959e+00 -7.421557e-01
3.001956e-01 7.652036e-01 5.905569e-02 1.008883e+00 3.621823e+00 8.760073e-03 2.198828e+00 -5.356922e-01
2.804218e-01 6.249947e-01 5.716898e-02 1.021018e+00 3.567477e+00 3.309011e-04 4.171512e+00 -1.060203e+00
1.971386e-01 8.105994e-01 2.477841e-02 1.022908e+00 3.290021e+00 6.168133e-03 2.304039e+00 -1.295302e+00
3.285051e-01 6.614828e-01 5.430777e-02 9.787540e-01 3.524533e+00 2.522398e-03 2.515641e+00 -5.227801e-01
3.042615e-01 6.388887e-01 5.775003e-02 1.030058e+00 3.405581e+00 3.440422e-03 3.430423e+00 -1.126467e+00
2.988052e-01 5.363764e-01 3.953982e-02 9.277332e-01 3.607806e+00 1.990868e-03 2.548960e+00 -8.111120e-01
2.677267e-01 5.596257e-01 2.026038e-02 1.028929e+00 3.811228e+00 6.743933e-03 2.005311e+00 -8.369151e-01
2.793143e-01 7.605577e-01 4.741457e-02 9.652204e-01 3.336627e+00 1.695176e-03 2.672658e+00 -7.375942e-01
2.629918e-01 7.547185e-01 4.546413e-02 9.918735e-01 3.363625e+00 6.615414e-03 2.559302e+00 -1.066637e+00
2.405581e-01 8.359544e-01 5.341809e-02 9.818385e-01 3.421528e+00 6.389988e-03 2.804092e+00 -1.108253e+00
2.892323e-01 7.536607e-01 5.991433e-02 9.405268e-01 3.179600e+00 2.869248e-03 3.158634e+00 -1.096071e+00
3.083404e-01 6.141063e-01 5.210503e-02 1.032151e+00 3.621971e+00 4.729524e-03 4.014141e+00 -9.105317e-01
2.471090e-01 7.684513e-01 5.282388e-02 9.810243e-01 3.484005e+00 5.770669e-03 3.703517e+00 -1.079289e+00
2.176634e-01 8.624864e-01 3.541980e-02 9.625017e-01 3.429648e+00 6.503700e-03 4.005334e+00 -1.148125e+00
3.146265e-01 7.033936e-01 4.916609e-02 9.192112e-01 3.430812e+00 6.431607e-03 3.416395e+00 -8.558913e-01
2.997485e-01 7.106768e-01 5.620511e-02 1.055322e+00 3.138018e+00 9.067129e-03 3.713029e+00 -1.272270e+00
3.025688e-01 7.178773e-01 5.260808e-02 9.272679e-01 3.600607e+00 3.361712e-03 2.420104e+00 -6.724041e-01
3.070449e-01 6.235033e-01 3.766373e-02 1.023801e+00 3.665052e+00 5.280717e-03 3.259139e+00 -5.428586e-01
2.744747e-01 7.487994e-01 5.342110e-02 1.067725e+00 3.292231e+00 3.592388e-03 3.374468e+00 -1.022723e+00
2.870301e-01 6.221750e-01 2.666095e-02 9.547303e-01 3.653621e+00 5.997981e-03 3.215525e+00 -6.634171e-01
3.990823e-01 5.720925e-01 6.052977e-02 8.664197e-01 3.657007e+00 7.838822e-03 3.136463e+00 -2.895067e-01
2.865083e-01 6.257921e-01 5.283569e-02 1.069081e+00 3.919324e+00 5.824116e-03 2.411988e+00 -7.063597e-01
3.051533e-01 7.793680e-01 4.699917e-02 9.430220e-01 3.033934e+00 7.102005e-03 2.013145e+00 -9.674100e-01
3.154234e-01 5.470967e-01 3.547946e-02 9.509085e-01 3.617476e+00 6.791976e-03 4.181604e+00 -1.029722e+00
3.132360e-01 7.017987e-01 5.888795e-02 9.739350e-01 3.235175e+00 5.742376e-03 2.277424e+00 -9.673320e-01
3.348825e-01 7.183310e-01 6.375936e-02 9.784103e-01 3.594756e+00 8.058502e-03 2.770743e+00 -5.548886e-01
1.928073e-01 8.867726e-01 4.863065e-02 9.965745e-01 3.167479e+00 1.043001e-03 2.495121e+00 -1.233468e+00
3.252216e-01 7.307825e-01 5.934563e-02 1.068300e+00 3.830189e+00 9.907442e-03 3.421204e+00 -4.914423e-01
2.629472e-01 6.285943e-01 5.087179e-02 1.060374e+00 3.666792e+00 1.137262e-03 3.912202e+00 -9.788954e-01
3.537456e-01 5.940481e-01 6.712766e-02 1.042985e+00 3.559557e+00 6.163338e-03 2.026617e+00 -5.559235e-01
3.463304e-01 6.691869e-01 6.899934e-02 1.033425e+00 3.520677e+00 4.369884e-03 3.863730e+00 -5.889829e-01
3.385301e-01 4.782960e-01 3.933922e-02 9.494512e-01 3.850264e+00 5.027209e-03 3.104009e+00 -6.003145e-01
3.250159e-01 7.670810e-01 5.470753e-02 8.292596e-01 2.993864e+00 5.774781e-03 2.832916e+00 -9.734974e-01
2.303987e-01 8.319843e-01 5.211710e-02 9.994373e-01 3.213760e+00 7.525144e-03 2.011332e+00 -1.265289e+00
3.059314e-01 5.064291e-01 4.176188e-02 1.069977e+00 3.904025e+00 1.136299e-03 3.206699e+00 -6.668250e-01
3.310071e-01 6.234718e-01 4.706212e-02 1.030242e+00 3.287791e+00 9.845773e-03 3.161255e+00 -9.082086e-01
2.387365e-01 8.591126e-01 4.156765e-02 9.791026e-01 3.271809e+00 9.171577e-03 2.925328e+00 -1.279415e+00
2.797871e-01 7.397282e-01 5.271960e-02 9.389254e-01 3.481707e+00 7.722973e-03 4.158799e+00 -1.017125e+00
2.631126e-01 8.427297e-01 4.118749e-02 9.195181e-01 3.566244e+00 9.500286e-03 4.128207e+00 -6.329093e-01
3.056819e-01 7.142800e-01 4.678080e-02 1.020297e+00 3.846178e+00 9.796475e-03 3.662084e+00 -6.602538e-01
2.274623e-01 8.723520e-01 4.416266e-02 8.692708e-01 3.038966e+00 3.201522e-04 3.089642e+00 -1.077222e+00
2.817233e-01 5.862495e-01 3.656845e-02 1.018544e+00 3.896228e+00 1.705261e-03 3.306899e+00 -6.014030e-01
3.017513e-01 8.033349e-01 6.273166e-02 9.022079e-01 2.928875e+00 5.193161e-03 3.839338e+00 -9.991217e-01
3.116405e-01 7.355802e-01 5.894274e-02 9.502769e-01 3.427755e+00 9.082540e-03 3.104094e+00 -8.641490e-01
2.847661e-01 6.158018e-01 3.486408e-02 9.496901e-01 3.515421e+00 9.447887e-03 2.432016e+00 -1.121132e+00
2.109298e-01 8.777236e-01 4.039109e-02 9.905485e-01 3.486103e+00 6.905100e-03 3.251135e+00 -1.155043e+00
3.244183e-01 7.781811e-01 4.991696e-02 8.189950e-01 2.982889e+00 5.699496e-03 3.509731e+00 -8.795675e-01
2.723172e-01 8.231827e-01 5.761695e-02 9.657232e-01 3.205451e+00 6.293512e-03 4.135490e+00 -8.750946e-01
3.106418e-01 7.111714e-01 4.209693e-02 9.413152e-01 3.382259e+00 5.436267e-03 3.564973e+00 -5.139710e-01
2.370185e-01 8.450588e-01 4.922828e-02 9.327530e-01 3.552626e+00 3.694204e-03 3.816063e+00 -7.315552e-01
2.958277e-01 7.170803e-01 5.599879e-02 9.885222e-01 3.748558e+00 1.459309e-03 2.375181e+00 -4.535098e-01
2.458133e-01 7.483933e-01 3.726950e-02 1.050591e+00 3.509098e+00 4.669147e-03 2.081851e+00 -9.221204e-01
2.841883e-01 6.420089e-01 4.951867e-02 1.041763e+00 3.865739e+00 4.863616e-03 4.104843e+00 -6.806106e-01
2.086950e-01 8.383683e-01 3.263377e-02 9.773027e-01 3.633541e+00 6.851090e-03 2.147201e+00 -9.462815e-01
2.524171e-01 8.639538e-01 4.973898e-02 9.763237e-01 3.600236e+00 8.222673e-03 3.894000e+00 -7.396369e-01
2.002577e-01 8.567817e-01 3.554195e-02 1.043191e+00 3.380494e+00 8.145805e-03 3.013511e+00 -1.190592e+00
2.386847e-01 6.713722e-01 4.781132e-02 1.047063e+00 3.439990e+00 6.649522e-06 3.456707e+00 -1.124343e+00
2.631074e-01 7.850446e-01 4.957753e-02 9.365390e-01 3.236522e+00 4.278718e-04 2.749640e+00 -9.370832e-01
2.990316e-01 7.537993e-01 5.273871e-02 9.514704e-01 3.667691e+00 6.478177e-03 2.987718e+00 -3.873152e-01
3.049222e-01 6.629539e-01 5.728210e-02 9.192684e-01 3.257267e+00 2.289118e-03 3.568344e+00 -1.102026e+00
3.140803e-01 6.912573e-01 5.705076e-02 9.305952e-01 3.492489e+00 4.259981e-03 3.443006e+00 -7.083922e-01
2.909583e-01 4.945174e-01 2.723090e-02 1.065273e+00 3.927841e+00 1.488765e-03 2.942336e+00 -7.196664e-01
3.385040e-01 6.755174e-01 6.497093e-02 1.019899e+00 3.402985e+00 7.188313e-03 3.431070e+00 -6.422317e-01
3.642501e-01 6.053324e-01 5.712496e-02 1.065927e+00 3.596689e+00 9.615998e-03 2.565264e+00 -5.307488e-01
2.641018e-01 6.354083e-01 3.583154e-02 9.455234e-01 3.581982e+00 4.826146e-03 3.507457e+00 -9.694632e-01
2.714083e-01 7.535315e-01 3.795230e-02 1.002872e+00 3.074389e+00 7.212297e-03 2.578786e+00 -1.070391e+00
2.824125e-01 6.883019e-01 4.072117e-02 1.017970e+00 3.515777e+00 5.991625e-03 1.996117e+00 -8.691818e-01
2.665507e-01 8.447847e-01 5.810129e-02 9.682832e-01 3.512852e+00 6.858928e-03 2.996135e+00 -7.348617e-01
3.136951e-01 5.399095e-01 3.741985e-02 1.049948e+00 3.551179e+00 4.826767e-03 4.090005e+00 -1.007684e+00
3.016826e-01 7.485928e-01 4.946354e-02 9.281035e-01 3.189221e+00 6.435396e-03 2.491873e+00 -9.733076e-01
